"transaction_id","invoice_id","transaction_date","customer_id","product_id","product_name","category","quantity","unit_price","discount","total_amount","payment_method","store_id"
"TXN0001","INV0001","2026-05-12","C020","P011","Eggs 12pc","Dairy","6","90","10","530","Card","S001"
"TXN0002","INV0002","2026-06-14","C031","P009","Notebook","Stationery","5","50","5","245","Cash","S003"
"TXN0003","INV0003","2026-03-30","C014","P004","Sugar 1kg","Grocery","1","55","0","55","Card","S001"
"TXN0004","INV0004","2026-02-25","C015","P009","Notebook","Stationery","3","50","15","135","Cash","S003"
"TXN0005","INV0005","2026-03-04","","P005","Tea Powder","Beverages","7","180","5","1255","Card","S003"
"TXN0006","INV0006","2026-06-04","C013","P005","Tea Powder","Beverages","2","180","10","350","Card","S001"
"TXN0007","INV0007","2026-05-26","C033","P013","Detergent","Household","5","210","5","1045","Net Banking","S001"
"TXN0008","INV0008","2026-03-11","C012","P010","Pen Pack","Stationery","3","75","5","220","Cash","S002"
"TXN0009","INV0009","2026-06-14","C011","P011","Eggs 12pc","Dairy","5","90","20","430","UPI","S002"
"TXN0010","INV0010","2026-01-11","C003","P013","","Household","7","210","0","1470","Net Banking","S002"
"TXN0011","INV0011","2026-01-04","C029","P001","Milk 1L","Dairy","6","60","0","360","Net Banking","S001"
"TXN0012","INV0012","2026-06-22","C020","P005","Tea Powder","Beverages","1","180","10","170","Card","S001"
"TXN0013","INV0013","2026-05-14","C034","P018","Cooking Oil","Grocery","3","165","0","495","UPI","S002"
"TXN0014","INV0014","2026-04-04","C002","P010","Pen Pack","Stationery","7","75","0","525","UPI","S002"
"TXN0015","INV0015","2026-01-18","C007","P017","Juice 1L","","3","99","10","287","Net Banking","S003"
"TXN0016","INV0016","2026-02-24","C001","P011","Eggs 12pc","Dairy","5","90","5","445","Net Banking","S001"
"TXN0017","INV0017","2026-02-25","C035","P014","Soap Pack","Personal Care","8","110","0","880","UPI","S002"
"TXN0018","INV0018","2026-01-13","C037","P020","Handwash","Household","8","140","0","1120","Card","S002"
"TXN0019","INV0019","2026-03-26","C016","P012","Butter","Dairy","8","120","5","955","Net Banking","S002"
"TXN0020","INV0020","2026-01-23","C026","P008","Shampoo","Personal Care","","160","5","635","Net Banking","S002"
"TXN0021","INV0021","2026-03-24","C024","P013","Detergent","Household","8","210","5","1675","Card","S003"
"TXN0022","INV0022","2026-03-16","C027","P005","Tea Powder","Beverages","6","180","10","1070","Net Banking","S002"
"TXN0023","INV0023","2026-04-13","C004","P014","Soap Pack","Personal Care","1","110","20","90","Card","S003"
"TXN0024","INV0024","2026-01-17","C017","P015","Biscuits","Snacks","4","35","15","125","Cash","S001"
"TXN0025","INV0025","2026-04-13","C017","P013","Detergent","Household","6","abc","10","1250","Cash","S003"
"TXN0026","INV0026","2026-03-26","C030","P014","Soap Pack","Personal Care","6","110","15","645","Cash","S001"
"TXN0027","INV0027","2026-01-29","C001","P014","Soap Pack","Personal Care","5","110","10","540","Card","S002"
"TXN0028","INV0028","2026-04-20","C015","P008","Shampoo","Personal Care","7","160","0","1120","Net Banking","S002"
"TXN0029","INV0029","2026-03-30","C012","P018","Cooking Oil","Grocery","1","165","0","165","Card","S001"
"TXN0030","INV0030","2026-05-05","C024","P013","Detergent","Household","3","210","-5","625","Card","S003"
"TXN0031","INV0031","2026-06-29","C027","P001","Milk 1L","Dairy","5","60","0","300","Net Banking","S001"
